,2007,2008,2009,2010,2011,2012,2013
entry_year,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grad_year,0.18021201413427562,0.1856091578086672,0.18275862068965518,0.17736486486486486,0.19646968534151957,0.28240942819729375,0.514446227929374
dropout_year,0.9814487632508834,0.9779231398201145,0.9741379310344828,0.9721283783783784,0.9800460475825019,0.9624618070711479,0.9859550561797753
in_state_transfer_year,0.8542402826855123,0.776778413736713,0.7801724137931034,0.7660472972972973,0.7536454336147352,0.8297686599738106,0.8471107544141252
transfer_out_year,0.9858657243816255,0.9689288634505315,0.975,0.9771959459459459,0.9746738296239448,0.9825403753819293,0.9827447833065811
withdrew_year,1.0,0.9991823385118561,1.0,0.9983108108108109,0.9976976208749041,0.9995635093845482,0.9991974317817014
grade_12_entry_year,0.11837455830388692,0.13164349959116925,0.12155172413793103,0.1258445945945946,0.12202609363008442,0.13662156263640332,0.16332263242375603
grade_12_withdraw_reason,0.11837455830388692,0.13164349959116925,0.1267241379310345,0.12753378378378377,0.13046815042210283,0.22697512003491924,0.35874799357945425
rnum,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absent_grade_5_absence_excused,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_5_absence_unexcused,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_5_tardy_unexcused,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_6_absence_excused,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_6_misc,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_7_absence_excused,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_7_tardy_unexcused,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_8_absence_excused,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_8_suspension_educated,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_8_tardy_unexcused,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_9_absence_excused,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_9_suspension_educated,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_9_tardy_unexcused,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
